x_value,total_1,total_2
0,1000,1000
1,1005,996
2,1010,1002
3,1008,1008
4,1016,1011
5,1012,1012
6,1009,1014
7,1012,1015
8,1007,1013
9,1015,1018
10,1016,1017
11,1016,1014
12,1013,1018
13,1007,1018
14,1011,1020
15,1016,1018
16,1019,1020
17,1023,1021
18,1023,1021
19,1028,1021
20,1034,1019
21,1040,1017
22,1038,1020
23,1043,1021
24,1051,1027
25,1052,1029
26,1050,1031
27,1052,1027
28,1053,1023
29,1047,1023
30,1048,1019
31,1043,1023
32,1037,1025
33,1032,1030
34,1036,1028
35,1039,1030
36,1037,1026
37,1039,1024
38,1033,1030
39,1027,1025
40,1035,1021
41,1038,1025
42,1036,1022
43,1034,1026
44,1041,1021
45,1044,1019
46,1048,1024
47,1045,1020
48,1046,1022
49,1052,1017
50,1054,1018
51,1060,1013
52,1057,1017
53,1052,1020
54,1053,1022
55,1055,1025
56,1057,1027
57,1052,1024
58,1046,1020
59,1050,1021
60,1055,1025
61,1058,1031
62,1060,1028
63,1067,1025
64,1065,1023
65,1068,1028
66,1062,1028
67,1061,1030
68,1066,1029
69,1066,1025
70,1063,1028
71,1071,1029
72,1069,1032
73,1077,1032
74,1085,1030
75,1090,1027
76,1096,1031
77,1102,1026
78,1096,1026
79,1092,1026
80,1099,1028
81,1101,1034
82,1100,1032
83,1102,1031
84,1105,1036
85,1109,1033
86,1117,1038
87,1120,1041
88,1114,1044
89,1120,1039
90,1127,1045
91,1127,1042
92,1122,1043
93,1118,1041
94,1124,1037
95,1127,1036
96,1130,1036
97,1128,1034
98,1125,1040
99,1128,1046
100,1133,1047
101,1139,1053
102,1145,1052
103,1145,1058
104,1141,1064
105,1135,1063
106,1132,1061
107,1134,1066
108,1131,1067
109,1129,1072
110,1133,1071
111,1136,1069
112,1134,1073
113,1130,1073
114,1129,1068
115,1134,1073
116,1142,1074
117,1138,1074
118,1141,1078
119,1138,1077
120,1141,1077
121,1138,1083
122,1136,1083
123,1144,1083
124,1152,1084
125,1160,1089
126,1155,1095
127,1163,1090
128,1157,1093
129,1158,1092
130,1156,1091
131,1150,1090
132,1148,1091
133,1144,1097
134,1152,1092
135,1148,1098
136,1153,1099
137,1150,1104
138,1156,1103
139,1162,1099
140,1164,1103
141,1170,1105
142,1171,1111
143,1174,1111
